縣市,行政區,建物類別名稱,交易季,交易量(棟),成交行情(萬/坪),市場開價(萬/坪),銷售天期(天),買賣議價率(%)
高雄市,鳳山區,透天厝,2024Q4,129,32.21,46.08,113,14.7%
臺北市,中正區,公寓,2024Q3,44,79.96,93.78,78,11.7%
桃園市,楊梅區,透天厝,2025Q3,84,22.77,32.35,120,17.5%
高雄市,三民區,住宅大樓,2025Q2,345,30.69,34.16,121,14.1%
新北市,汐止區,住宅大樓,2025Q4,111,49.77,49.5,123,12.7%
臺北市,北投區,住宅大樓,2025Q2,171,72.91,75.03,98,10.7%
臺北市,松山區,透天厝,2024Q4,2,170.14,170.56,NULL,NULL
臺南市,新市區,透天厝,2025Q1,37,22.73,35.9,135,22.6%
桃園市,中壢區,透天厝,2024Q4,136,40.94,55.28,125,15.4%
臺南市,安南區,住宅大樓,2024Q2,284,29.81,33.23,97,9.1%
臺中市,西屯區,公寓,2024Q3,40,27.32,35.7,97,8.7%
臺中市,南屯區,住宅大樓,2024Q1,509,38.75,42.11,88,9.5%
臺中市,大里區,公寓,2025Q4,4,19.99,26.09,268,3.8%
新北市,淡水區,透天厝,2024Q3,33,34,53.26,112,14.2%
桃園市,桃園區,透天厝,2025Q2,56,41.29,59.14,135,18.8%
高雄市,三民區,透天厝,2025Q3,74,34.68,48.19,141,17.6%
臺中市,南屯區,住宅大樓,2025Q2,221,40.34,43.58,133,12.2%
桃園市,楊梅區,住宅大樓,2025Q2,163,23.33,26.63,140,14.7%
新北市,五股區,透天厝,2025Q3,6,39.4,53.93,173,24.3%
臺南市,安平區,住宅大樓,2025Q1,120,28.93,33.83,109,13.1%
高雄市,岡山區,住宅大樓,2024Q1,159,26.84,23.46,88,10.6%
新北市,新莊區,透天厝,2024Q3,21,59.94,86.52,95,10.8%
新北市,蘆洲區,住宅大樓,2024Q1,170,50.82,56.97,93,9.7%
桃園市,桃園區,透天厝,2024Q2,127,39.37,56.7,116,13.5%
高雄市,前金區,公寓,2025Q1,2,20.65,30.65,NULL,NULL
新北市,深坑區,公寓,2024Q1,7,24.38,33.22,32,16.4%
新北市,三峽區,公寓,2024Q4,8,27.51,33.58,109,13.1%
臺中市,北屯區,住宅大樓,2025Q2,405,37.73,42.49,127,13%
臺南市,新營區,透天厝,2024Q1,92,23.94,27.81,125,11.6%
臺北市,大安區,透天厝,2025Q2,4,142.72,178.67,244,29.8%
新北市,八里區,透天厝,2024Q1,5,30.54,37.26,176,7.9%
